company_name,location,ctc,skill_required
Xboom Utilities Private Limited,Bangalore,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",Effective Communication
Caliberly Human Resource Consulting,Bangalore,"₹ 4,03,000 - 5,10,000                                

                        ₹ 4,03,000 - 5,10,000 /year",Adobe Illustrator
Rezolut Infotech,Mumbai,"₹ 2,50,000 - 4,00,000                                

                        ₹ 2,50,000 - 4,00,000 /year",Accounting
Gharpayy,Bangalore,"₹ 3,00,000                                

                        ₹ 3,00,000 /year",Digital Marketing
Vibrant Publishers,Mumbai,"₹ 5,00,000 - 7,00,000                                

                        ₹ 5,00,000 - 7,00,000 /year",Customer Support
Vibrant Publishers,Mumbai,"₹ 4,50,000 - 6,50,000                                

                        ₹ 4,50,000 - 6,50,000 /year",Adobe Illustrator
Zigsaw Consultancy,Vadodara,"₹ 3,00,000 - 7,00,000                                

                        ₹ 3,00,000 - 7,00,000 /year",Django
Ronit Wadhwani,Indore,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Creative Direction
VNB Solar,"Bhimavaram, Guntur, Srikakulam, Vizianagaram, Visakhapatnam, Bapatla, Vijayawada, Rajahmundry, Andhra Pradesh","₹ 3,50,000 - 7,80,000                                

                        ₹ 3,50,000 - 7,80,000 /year",Effective Communication
Brave Artificial Intelligence Laboratory,Mumbai                                            (Hybrid),"₹ 3,00,000 - 6,00,000                                

                        ₹ 3,00,000 - 6,00,000 /year",Email Marketing
ABC REGISTRATION SERVICES,Delhi,"₹ 3,00,000                                

                        ₹ 3,00,000 /year",Corporate Law
Design Cosmos,Gurgaon,"₹ 3,60,000 - 4,80,000                                

                        ₹ 3,60,000 - 4,80,000 /year",Adobe Photoshop
Yashaswini Apte Architecture+Design,Mumbai,"₹ 2,50,000 - 3,40,000                                

                        ₹ 2,50,000 - 3,40,000 /year",Adobe Photoshop
Saroj Education Group,Lucknow,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Effective Communication
Wayspire Ed-Tech Private Limited,Gurgaon,"₹ 3,15,000 - 5,18,000                                

                        ₹ 3,15,000 - 5,18,000 /year",Effective Communication
Bhat Joshi & Co. LLP,Pune,"₹ 2,40,000 - 5,40,000                                

                        ₹ 2,40,000 - 5,40,000 /year",Effective Communication
Gateway PR Consulting,Mumbai                                            (Hybrid),"₹ 3,60,000 - 6,00,000                                

                        ₹ 3,60,000 - 6,00,000 /year",Effective Communication
Elora's Pmu & Korean Esthetics,Pune,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",Effective Communication
HAZCAM SAFETY SOLUTIONS PVT. LTD.,Vadodara,"₹ 3,10,000 - 4,20,000                                

                        ₹ 3,10,000 - 4,20,000 /year",Digital Marketing
Abundant Prosperity Financial Distribution LLP,Ahmedabad,"₹ 2,41,000 - 4,00,000                                

                        ₹ 2,41,000 - 4,00,000 /year",Gujarati Proficiency (Spoken)
Sanskrit E Solutions & Services Private Limited,Kolkata,"₹ 2,90,000 - 10,40,000                                

                        ₹ 2,90,000 - 10,40,000 /year",Business Development
Yuvii Consultancy Private Limited,Ahmedabad,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",MS-Excel
Quick Digital Technologies Private Limited,Thane,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
INCUBERS,Jaipur,"₹ 2,70,000 - 3,00,000                                

                        ₹ 2,70,000 - 3,00,000 /year",English Proficiency (Spoken)
BHATTER CERAMICS,"Kolkata, Hooghly, Howrah, Barrackpore","₹ 2,10,000 - 5,00,000                                

                        ₹ 2,10,000 - 5,00,000 /year",Client Relationship Management (CRM)
Cosmos Staffing Solutions,Noida,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",English Proficiency (Spoken)
ADARSH STORES,Delhi,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",English Proficiency (Spoken)
Lucenta Solutions,Jaipur,"₹ 2,10,000 - 3,00,000                                

                        ₹ 2,10,000 - 3,00,000 /year",Creative Writing
Quick Digital Technologies Private Limited,Kolkata,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
Quick Digital Technologies Private Limited,Pune,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
ONE XL INFO LLP,Pimpri-Chinchwad,"₹ 3,00,000 - 3,60,000                                

                        ₹ 3,00,000 - 3,60,000 /year",Content Marketing
Quick Digital Technologies Private Limited,Bangalore,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
Boomerang,Jaipur,"₹ 2,05,000 - 3,10,000                                

                        ₹ 2,05,000 - 3,10,000 /year",English Proficiency (Spoken)
Finexo,Jaipur,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Manual Testing
Aavishkar Media Group,Delhi,"₹ 2,00,000 - 2,60,000                                

                        ₹ 2,00,000 - 2,60,000 /year",English Proficiency (Spoken)
Eva Photo & Films,Bangalore,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",Cinematography
ALSTROM INTERNATIONAL Private Limited,"Ahmedabad, Pune, Mumbai, Jaipur","₹ 2,10,000 - 3,12,000                                

                        ₹ 2,10,000 - 3,12,000 /year",Effective Communication
Grando Printing,Surat,"₹ 2,10,000 - 3,20,000                                

                        ₹ 2,10,000 - 3,20,000 /year",Computer skills
The Future University,"Chandigarh, Mohali","₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",Adobe After Effects
Jomotel.com,Delhi,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Holiday Package Design
Development Logics,Dharamshala,"₹ 3,00,000 - 4,80,000                                

                        ₹ 3,00,000 - 4,80,000 /year",CCNA
Development Logics,Dharamshala,"₹ 2,00,000 - 3,60,000                                

                        ₹ 2,00,000 - 3,60,000 /year",Computer skills
Evitamin,"Indore, Ujjain, Dewas","₹ 2,00,000 - 8,00,000                                

                        ₹ 2,00,000 - 8,00,000 /year",Creative Writing
Minoro Designs,Mumbai,"₹ 3,00,000 - 6,00,000                                

                        ₹ 3,00,000 - 6,00,000 /year",AutoCAD
Heterize Infotech Private Limited,Indore,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",MS-Excel
Rezolut Infotech,Mumbai,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",Coordination
Growthify JurisAI Private Limited,Ahmedabad,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",Business Development
Vkare Bio Sciences Private Limited,Greater Noida West,"₹ 2,04,000 - 3,00,000                                

                        ₹ 2,04,000 - 3,00,000 /year",Adobe Creative Suite
Aclm Services,Mumbai,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",B2B Sales
Vanilla Beans,Mumbai,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Creative Writing
Vanilla Beans,Mumbai,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Digital Marketing
Aaryavart Centre For Austism And Special Needs Foundation,Lucknow,"₹ 2,00,010 - 2,20,010                                

                        ₹ 2,00,010 - 2,20,010 /year",Digital Advertising
Impca Services Private Limited,Jamshedpur,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",CSS
Heterize Infotech Private Limited,Indore,"₹ 3,00,000 - 7,00,000                                

                        ₹ 3,00,000 - 7,00,000 /year",English Proficiency (Spoken)
Growthify JurisAI Private Limited,Ahmedabad,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Effective Communication
RAKESH MOON,"Bhandara, Chandrapur, Wardha, Nagpur                                            (Hybrid)","₹ 2,00,000 - 2,25,000                                

                        ₹ 2,00,000 - 2,25,000 /year",Effective Communication
Heterize Infotech Private Limited,Indore,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Adobe Photoshop
Laad Associates,Indore,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",Computer skills
Heterize Infotech Private Limited,Indore,"₹ 3,00,000 - 7,00,000                                

                        ₹ 3,00,000 - 7,00,000 /year",English Proficiency (Spoken)
Mantry Jarecha & Co,Ahmedabad,"₹ 2,00,000 - 2,14,500                                

                        ₹ 2,00,000 - 2,14,500 /year",Accounting
FOURTH DIMENSION ACADEMY,Khardi                                            (Hybrid),"₹ 2,40,000 - 5,50,000                                

                        ₹ 2,40,000 - 5,50,000 /year",Effective Communication
TanuShree Designs,Ahmedabad,"₹ 2,16,000 - 2,40,000                                

                        ₹ 2,16,000 - 2,40,000 /year",AutoCAD
Vibrant Publishers,Mumbai,"₹ 4,00,000 - 5,00,000                                

                        ₹ 4,00,000 - 5,00,000 /year",Content Editing
Globussoft,Bhilai,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",Adobe After Effects
Yuvii Consultancy Private Limited,Ahmedabad,"₹ 2,10,000 - 3,15,000                                

                        ₹ 2,10,000 - 3,15,000 /year",English Proficiency (Spoken)
Vibrant Publishers,Mumbai,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",Effective Communication
Confluencr,Nagpur,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Accounting
Baisya Academy LLP,Raipur,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",English Proficiency (Spoken)
Heterize Infotech Private Limited,Indore,"₹ 5,00,000 - 8,00,000                                

                        ₹ 5,00,000 - 8,00,000 /year",Marketing
Scaler,Bangalore,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",MS-Excel
Saharan And Co,Ahmedabad,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Accounting
Vanilla Beans,Mumbai,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Effective Communication
Aashni + Co,Mumbai,"₹ 12,20,000 - 14,50,000                                

                        ₹ 12,20,000 - 14,50,000 /year",Effective Communication
Teloz Spaces,Mumbai,"₹ 2,00,000 - 2,70,000                                

                        ₹ 2,00,000 - 2,70,000 /year",Computer skills
Amar Architecture And Designs Pvt Limited,Chennai,"₹ 3,85,000 - 5,30,000                                

                        ₹ 3,85,000 - 5,30,000 /year",Adobe Photoshop
Flying Vertex,Delhi,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
Universal HR Solutions And Consultants,Mumbai,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Field Sales
Knowbal Migration And Education,"Ahmedabad, Gandhinagar                                            (Hybrid)","₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",English Proficiency (Written)
The Trading Fox,Jaipur,"₹ 2,25,000 - 2,75,000                                

                        ₹ 2,25,000 - 2,75,000 /year",Auditing
JAI MAA HATESHWARI PRIVATE LIMITED,Manali,"₹ 2,00,000 - 2,30,000                                

                        ₹ 2,00,000 - 2,30,000 /year",Cold Calling
STONEBRIDGE REAL ESTATE ADVISORY PVT LTD,Mumbai                                            (Hybrid),"₹ 3,06,000 - 7,00,000                                

                        ₹ 3,06,000 - 7,00,000 /year",Business Development
The Trading Fox,Jaipur,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",Acting
World Wide Sales,Indore,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",Client Interaction
Seoage Digital Marketing Pvt Ltd,Delhi,"₹ 2,50,000 - 3,50,000                                

                        ₹ 2,50,000 - 3,50,000 /year",B2B Sales
Digimac Business Solutions,Bangalore,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",English Proficiency (Written)
German BrezelHaus Bakery&Bistro,Bangalore,"₹ 2,50,000                                

                        ₹ 2,50,000 /year",Effective Communication
Rohindia Private Limited,Panchkula,"₹ 2,40,001 - 4,20,000                                

                        ₹ 2,40,001 - 4,20,000 /year",English Proficiency (Spoken)
Metasphere Media Tech,Mumbai,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Adobe After Effects
German BrezelHaus Bakery&Bistro,Bangalore,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Effective Communication
PlanB Consultancy,Mumbai,"₹ 4,50,000 - 5,10,000                                

                        ₹ 4,50,000 - 5,10,000 /year",English Proficiency (Spoken)
Scaling Socials,Bangalore,"₹ 3,00,000 - 4,20,000                                

                        ₹ 3,00,000 - 4,20,000 /year",Client Interaction
Rohindia Private Limited,Panchkula,"₹ 2,00,001 - 3,00,000                                

                        ₹ 2,00,001 - 3,00,000 /year",Lead Generation
German BrezelHaus Bakery&Bistro,Bangalore,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Effective Communication
Film Crew,Mumbai,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Business Development
Echo Booom,Bangalore,"₹ 2,50,000 - 5,00,000                                

                        ₹ 2,50,000 - 5,00,000 /year",Marketing
ScanEra Digital Pvt Ltd,Mumbai,"₹ 3,00,000 - 6,00,000                                

                        ₹ 3,00,000 - 6,00,000 /year",Client Relationship Management (CRM)
German BrezelHaus Bakery&Bistro,Bangalore,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Effective Communication
The Affordable Organic Store,Hyderabad,"₹ 2,00,000 - 2,16,000                                

                        ₹ 2,00,000 - 2,16,000 /year",Effective Communication
Rohindia Private Limited,Panchkula,"₹ 2,10,001 - 3,60,000                                

                        ₹ 2,10,001 - 3,60,000 /year",Adobe Creative Suite
Qbotic Infotechnology,Bangalore,"₹ 2,05,000 - 3,50,000                                

                        ₹ 2,05,000 - 3,50,000 /year",Cold Calling
MyPace Learning Private Limited,Bangalore,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",Lead Generation
Polymechplast Machines Ltd (PML),Vadodara,"₹ 2,15,000 - 2,35,000                                

                        ₹ 2,15,000 - 2,35,000 /year",Canva
Right Health India,Mumbai,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",Business Analysis
Illume Advisory,Mumbai,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Accounting
S3 Creatives,Bangalore                                            (Hybrid),"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Creative Writing
Maxleben Advisory,Mohali,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",Effective Communication
Wappgo IT Private Limited,Indore,"₹ 2,00,000 - 3,60,000                                

                        ₹ 2,00,000 - 3,60,000 /year",Client Relationship Management (CRM)
Gudgudee,Bangalore,"₹ 3,60,000 - 7,20,000                                

                        ₹ 3,60,000 - 7,20,000 /year",Coordination
ABM Traders,Hyderabad                                            (Hybrid),"₹ 2,16,000 - 3,00,000                                

                        ₹ 2,16,000 - 3,00,000 /year",MS-Office
VSV & Co,Mumbai,"₹ 3,00,000 - 8,00,000                                

                        ₹ 3,00,000 - 8,00,000 /year",Auditing
Barbell Cartel,Bangalore,"₹ 6,00,000 - 12,00,000                                

                        ₹ 6,00,000 - 12,00,000 /year",Effective Communication
Axe Consultancy And Security Services LLC,Dehradun,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",English Proficiency (Spoken)
Rohindia Private Limited,Panchkula,"₹ 2,40,001 - 3,60,000                                

                        ₹ 2,40,001 - 3,60,000 /year",Adobe Photoshop
Axe Consultancy And Security Services LLC,Dehradun,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",English Proficiency (Spoken)
Maxleben Advisory,Mohali,"₹ 2,00,000 - 2,05,000                                

                        ₹ 2,00,000 - 2,05,000 /year",Adobe Illustrator
EaseMyOffice,"Gurgaon, Delhi","₹ 2,80,000 - 3,60,000                                

                        ₹ 2,80,000 - 3,60,000 /year",English Proficiency (Spoken)
Natturz Bio Kontrol Private Limited,"Delhi, Mumbai                                            (Hybrid)","₹ 3,01,000 - 3,62,000                                

                        ₹ 3,01,000 - 3,62,000 /year",Effective Communication
Axe Consultancy And Security Services LLC,Dehradun,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Adobe Premiere Pro
Techlightz Infosystems,Noida,"₹ 2,70,000 - 3,30,000                                

                        ₹ 2,70,000 - 3,30,000 /year",Email Management
Axe Consultancy And Security Services LLC,Dehradun,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",E-commerce
TRUE FILES INDIA LLP,Varanasi,"₹ 2,04,000 - 3,00,000                                

                        ₹ 2,04,000 - 3,00,000 /year",AJAX
The Skillians,Gurgaon,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",English Proficiency (Spoken)
Jalan & Associates,Guwahati,"₹ 2,16,000 - 3,00,000                                

                        ₹ 2,16,000 - 3,00,000 /year",AutoCAD
Muditam Ayurveda Private Limited,Delhi,"₹ 3,80,000 - 6,00,000                                

                        ₹ 3,80,000 - 6,00,000 /year",Dietetics/Nutrition
RegisterKaro,Gurgaon,"₹ 5,40,000 - 9,60,000                                

                        ₹ 5,40,000 - 9,60,000 /year",Email Marketing
"Bajaj Foundation                            
NGO",Delhi,"₹ 2,00,000 - 3,60,000                                

                        ₹ 2,00,000 - 3,60,000 /year",Canva
Saroj Education Group,Lucknow,"₹ 4,00,000 - 5,00,000                                

                        ₹ 4,00,000 - 5,00,000 /year",AutoCAD
Niviverse Technologies Private Limited,Jaipur,"₹ 4,00,000 - 5,00,000                                

                        ₹ 4,00,000 - 5,00,000 /year",Accounting
